,electric_loadprofile,weather_region,weather_type,weather_year,p_pv,e_bat,production_sum [kWh],consumption_sum [kWh],battery_discharge [kWh],battery_charge [kWh],grid_feed [kWh],grid_supply [kWh],autarkiegrad,eigenverbrauch
0,LP_W_EFH,4,a,2015,1.0,1.5,942.63025,1000.0055,267.0509285885847,350.2669022270114,272.2906657668445,412.8818894052712,0.5871203814326309,0.7111373565967734
0,LP_W_EFH,4,a,2015,1.0,2.25,942.63025,1000.0055,301.3230519024073,394.3485467481172,228.1890603974261,378.5898052431359,0.6214122769893407,0.7579230452264543
0,LP_W_EFH,4,a,2015,2.0,1.75,1885.2605,1000.0055,339.1073911602828,482.5763298097804,1026.5909023358222,284.80484098532,0.71519672543269,0.455464694488734
0,LP_W_EFH,4,a,2015,1.75,1.5,1649.6029374999998,1000.0055,309.17003866123207,428.7247797572932,854.3532041502095,324.3105077462708,0.6756912759517115,0.4820855463285027
0,LP_W_EFH,4,a,2015,2.5,2.0,2356.575625,1000.0055,373.6645257276592,543.5955826136102,1421.7012745486795,235.06220643463035,0.7649390864003944,0.3967088263723005
0,LP_W_EFH,4,a,2015,0.75,1.25,706.9726875,1000.0055,214.9156732514576,274.31194250310114,140.0759888551617,492.5050706068053,0.5074976381561848,0.8018650630613482
0,LP_W_EFH,4,a,2015,0.5,2.5,471.315125,1000.0055,172.21762806450346,213.9917319256117,6.2425333493987285,576.7070122105071,0.4232961596606147,0.9867550752813232
0,LP_W_EFH,4,a,2015,0.25,2.5,235.6575625,1000.0055,44.17299491562297,54.6589497995477,0.092925,774.9268173839247,0.2250774446901294,0.9996056778360336
0,LP_W_EFH,4,a,2015,1.5,1.25,1413.945375,1000.0055,272.1537221853512,367.3371696952144,691.6922015014707,372.9357740113338,0.627066277124142,0.5108069846747293
0,LP_W_EFH,4,a,2015,0.25,0.25,235.6575625,1000.0055,34.964196679195005,43.7449428624346,11.000950506189234,784.1296341894289,0.2158746784998392,0.953318067158616
0,LP_W_EFH,4,a,2015,1.25,0.1,1178.2878125,1000.0055,38.350118151269854,45.456967444380965,792.8609798893277,621.6855166824388,0.378317902569097,0.3271075441176833
0,LP_W_EFH,4,a,2015,0.5,1.75,471.315125,1000.0055,167.53975510207434,208.2191251620696,12.015140112940015,581.3848851729352,0.4186183124263463,0.9745072044676266
0,LP_W_EFH,4,a,2015,1.5,2.25,1413.945375,1000.0055,349.5939802625215,485.5489937237443,573.5599084969081,295.575046958131,0.7044265786956861,0.5943549739346132
