Monat;Strom in W/m2NGF;Warmwasser thermisch in in W/m2NGF;Waerme in W/m2NGF;Kaelte in W/m2NGF;Wind in MW;Photovoltaik in kW;Stunde;Datum
4;1,3100;0,27000;0;0;90;0;2161;01.04.2021
4;1,2400;0,27000;0;0;37;0;2162;01.04.2021
4;1,2300;0,27000;0;0;41;0;2163;01.04.2021
4;1,2400;0,27000;0;0;86;0;2164;01.04.2021
4;1,3600;0,27000;0;0;104;0;2165;01.04.2021
4;1,9300;0,27000;0;0;63;0,3;2166;01.04.2021
4;2,4400;0,27000;0;0;48;19,5;2167;01.04.2021
4;2,5500;0,55000;0;0;19;32,3;2168;01.04.2021
4;2,5300;0,83000;0;0;7;62,3;2169;01.04.2021
4;2,4700;1,64000;0;0;4;89,7;2170;01.04.2021
4;2,4900;1,64000;0;0;13;44,5;2171;01.04.2021
4;2,7200;2,19000;0;0;40;77,2;2172;01.04.2021
4;2,6700;2,19000;0;0;99;52,5;2173;01.04.2021
4;2,4000;2,23000;0;0;165;138,3;2174;01.04.2021
4;2,2100;1,37000;0;0;330;222,6;2175;01.04.2021
4;2,1100;1,10000;0;0;373;121,5;2176;01.04.2021
4;2,2500;1,37000;0;0;659;133,4;2177;01.04.2021
4;2,6500;1,33000;0;0;355;33,9;2178;01.04.2021
4;3,0300;1,64000;0;0;516;0,9;2179;01.04.2021
4;2,9800;1,10000;0;0;621;0;2180;01.04.2021
4;2,8100;1,10000;0;0;617;0;2181;01.04.2021
4;2,5300;0,55000;0;0;731;0;2182;01.04.2021
4;2,0300;0,55000;0;0;617;0;2183;01.04.2021
4;1,5600;0,27000;0;0;540;0;2184;01.04.2021
4;1,4100;0,27000;0;0;410;0;2185;02.04.2021
4;1,2700;0,27000;0;0;362;0;2186;02.04.2021
4;1,2400;0,55000;0;0;511;0;2187;02.04.2021
4;1,2300;0,55000;0;0;500;0;2188;02.04.2021
4;1,2500;1,10000;0;0;369;0;2189;02.04.2021
4;1,6100;1,64000;0;0;387;0,3;2190;02.04.2021
4;2,1000;2,81000;0;0;317;22,3;2191;02.04.2021
4;2,6100;2,81000;0;0;144;65,9;2192;02.04.2021
4;5,7500;2,53000;0;0;65;113,8;2193;02.04.2021
4;6,9200;2,05000;0;0;91;157,7;2194;02.04.2021
4;7,0400;1,77000;0;0;57;173,6;2195;02.04.2021
4;7,1700;2,37000;0;0;7;168,3;2196;02.04.2021
4;7,1100;2,91000;0;0;4;175;2197;02.04.2021
4;6,8900;2,05000;0;0;4;175,7;2198;02.04.2021
4;6,7100;1,49000;0;0;9;125,2;2199;02.04.2021
4;6,6800;1,49000;0;0;15;91,9;2200;02.04.2021
4;6,8600;2,05000;0;0;28;51,5;2201;02.04.2021
4;5,6400;2,32000;0;0;30;17,5;2202;02.04.2021
4;6,8400;1,99000;0;0;50;0,3;2203;02.04.2021
4;3,1500;1,41000;0;0;122;0;2204;02.04.2021
4;2,6900;1,10000;0;0;259;0;2205;02.04.2021
4;2,5700;0,55000;0;0;362;0;2206;02.04.2021
4;2,2600;0,55000;0;0;546;0;2207;02.04.2021
4;1,6500;0,27000;0;0;707;0;2208;02.04.2021
4;1,8000;0,27000;0;0;815;0;2209;03.04.2021
4;1,4900;0,27000;0;0;723;0;2210;03.04.2021
4;1,3100;0,55000;0;0;411;0;2211;03.04.2021
4;1,2400;0,55000;0;0;367;0;2212;03.04.2021
4;1,2300;1,10000;0;0;395;0;2213;03.04.2021
4;1,4000;1,64000;0;0;400;0,3;2214;03.04.2021
4;1,4300;2,81000;0;0;349;29;2215;03.04.2021
4;1,7100;2,81000;0;0;155;103,8;2216;03.04.2021
4;5,2000;2,53000;0;0;96;160,5;2217;03.04.2021
4;6,8600;2,05000;0;0;295;243,3;2218;03.04.2021
4;7,2200;2,08000;0;0;401;281,1;2219;03.04.2021
4;7,5000;2,37000;0;0;316;359,4;2220;03.04.2021
4;7,5400;2,91000;0;0;312;317,8;2221;03.04.2021
4;6,9900;2,05000;0;0;281;274,6;2222;03.04.2021
4;6,5400;1,18000;0;0;326;214,7;2223;03.04.2021
4;6,3200;1,49000;0;0;382;174,4;2224;03.04.2021
4;6,1300;2,05000;0;0;453;137,8;2225;03.04.2021
4;4,3800;2,32000;0;0;573;74,9;2226;03.04.2021
4;5,9900;1,99000;0;0;908;0,3;2227;03.04.2021
4;2,8800;1,41000;0;0;1338;0;2228;03.04.2021
4;2,7900;1,35000;0;0;1634;0;2229;03.04.2021
4;2,6400;0,55000;0;0;1720;0;2230;03.04.2021
4;2,4100;0,30000;0;0;1554;0;2231;03.04.2021
4;1,5600;0,27000;0;0;1259;0;2232;03.04.2021
4;1,3100;0,27000;0;0;942;0;2233;04.04.2021
4;1,2400;0,27000;0;0;643;0;2234;04.04.2021
4;1,2300;0,55000;0;0;466;0;2235;04.04.2021
