datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2],synthetic global irradiance [W/m^2],synthetic diffuse irradiance [W/m^2],clear sky irradiance [W/m^2]
2015-01-01 00:00:00+01:00,7.0,986.0,212.0,5.3,7.0,86.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:15:00+01:00,7.0,986.0,212.0,5.3,7.0,86.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:30:00+01:00,6.8,986.0,212.0,5.2,7.0,85.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:45:00+01:00,6.5,986.0,212.0,5.0,7.0,85.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00+01:00,6.2,986.0,212.0,4.9,7.0,85.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:15:00+01:00,5.9,986.0,212.0,4.7,7.0,85.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:30:00+01:00,5.6,986.1,212.0,4.5,7.0,85.1,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:45:00+01:00,5.3,986.4,212.0,4.4,7.0,85.4,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00+01:00,5.0,986.6,212.0,4.3,7.0,85.6,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:15:00+01:00,4.7,986.9,212.0,4.2,7.0,85.9,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:30:00+01:00,4.5,987.0,211.8,4.1,7.1,86.2,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:45:00+01:00,4.4,987.0,211.3,4.0,7.4,86.7,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00+01:00,4.4,987.0,210.8,4.0,7.6,87.2,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:15:00+01:00,4.3,987.0,210.3,3.9,7.9,87.7,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:30:00+01:00,4.3,987.0,210.0,3.9,8.0,88.2,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:45:00+01:00,4.3,987.0,210.0,3.9,8.0,88.7,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00+01:00,4.2,987.0,210.0,3.8,8.0,89.2,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:15:00+01:00,4.2,987.0,210.0,3.8,8.0,89.7,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:30:00+01:00,4.2,987.0,209.3,3.7,7.9,90.1,0.0,0.0,0.0,0.0,0.0
