model,scenario,region,variable,unit,time,value
HiSim_simple_district,,AACHEN,District_Weather|Temperature|TemperatureOutside,°C,2021-01-31,1.2920684523809522
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|DirectNormalIrradiance,W,2021-01-31,14.946912856679793
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|DirectNormalIrradianceExtra,W,2021-01-31,1413.9852946396984
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|DiffuseHorizontalIrradiance,W,2021-01-31,13.178571428571429
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|GlobalHorizontalIrradiance,W,2021-01-31,16.333333333333332
HiSim_simple_district,,AACHEN,District_Weather|Any|Altitude,Degrees,2021-01-31,-19.672126653672947
HiSim_simple_district,,AACHEN,District_Weather|Any|Azimuth,Degrees,2021-01-31,179.9545207907913
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-31,109.62985908839282
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-31,2.2134300595238097
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-31,99484.87351190476
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-31,1.291340172715498
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-31,18.320858498970367
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-31,18.94444367425872
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-31,20.128617447800313
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-31,3761.8242937321506
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-31,27.973151231687716
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-31,682.6989569730805
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-31,3858.252657633757
