model,scenario,region,variable,unit,time,value
HiSim_simple_district,,AACHEN,District_Weather|Any|Azimuth,Degrees,2021-01-07,179.91054719713551
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-01,109.89004539594991
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-02,109.81404033793463
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-03,109.73161831370773
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-04,109.64280878429064
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-05,109.54721752046136
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-06,109.44573646108527
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021-01-07,109.33754680532026
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-01,1.0030729166666665
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-02,2.065
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-03,1.0732638888888888
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-04,3.7599305555555556
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-05,2.517517361111111
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-06,3.3975520833333337
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021-01-07,1.677673611111111
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-01,98169.86111111111
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-02,99453.68055555556
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-03,100129.27083333333
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-04,99587.53472222222
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-05,99861.96180555556
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-06,99592.27430555556
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021-01-07,99599.53125
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-01,-0.6139409722222222
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-02,-1.8400507209683639
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-03,-4.023101586612655
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-04,-0.4254872444058643
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-05,3.2531398051697527
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-06,5.962233736014662
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021-01-07,6.726588192033178
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-01,19.292683212021682
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-02,18.11419751603802
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-03,17.64438639505679
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-04,17.658496452661804
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-05,18.195343905058966
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-06,18.54024797667731
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021-01-07,18.800654035277994
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-01,19.496574649834216
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-02,18.868385124387142
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-03,18.51835473499965
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-04,18.480595106300672
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-05,18.893115897787712
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-06,19.07734472038547
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021-01-07,19.27673548611619
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-01,20.13224906359687
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-02,20.2787418778513
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-03,20.15828802543833
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-04,20.00600005837667
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-05,20.151051679299986
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-06,20.04198538982244
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021-01-07,20.1320060402166
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-01,2774.9010509461687
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-02,4506.098637150677
