model,scenario,region,variable,unit,year,value
HiSim_simple_district,,AACHEN,District_Weather|Temperature|TemperatureOutside,°C,2021,1.2920684523809522
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|DirectNormalIrradiance,W,2021,14.946912856679793
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|DirectNormalIrradianceExtra,W,2021,1413.9852946396984
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|DiffuseHorizontalIrradiance,W,2021,13.178571428571429
HiSim_simple_district,,AACHEN,District_Weather|Irradiance|GlobalHorizontalIrradiance,W,2021,16.333333333333332
HiSim_simple_district,,AACHEN,District_Weather|Any|Altitude,Degrees,2021,-19.672126653672947
HiSim_simple_district,,AACHEN,District_Weather|Any|Azimuth,Degrees,2021,179.95452079079126
HiSim_simple_district,,AACHEN,District_Weather|Any|ApparentZenith,Degrees,2021,109.62985908839282
HiSim_simple_district,,AACHEN,District_Weather|Speed|WindSpeed,m/s,2021,2.2134300595238097
HiSim_simple_district,,AACHEN,District_Weather|Pressure|Pressure,Pa,2021,99484.87351190476
HiSim_simple_district,,AACHEN,District_Weather|Temperature|DailyAverageOutsideTemperatures,°C,2021,1.2913401727154978
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureMeanThermalMass,°C,2021,18.320858498970367
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureInternalSurface,°C,2021,18.944443674258725
HiSim_simple_district,,AACHEN,BUI1_Building|Temperature|TemperatureIndoorAir,°C,2021,20.128617447800313
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021,3761.8242937321506
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021,27.973151231687716
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021,682.6989569730805
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021,3858.252657633757
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021,1164.3247665048616
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021,4361.652363508184
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021,3051.3982098661963
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021,205.1792387323489
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021,161.31866973600427
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021,3817.6195092257385
HiSim_simple_district,,AACHEN,BUI1_Building|OnOff|OpenWindow,timesteps,2021,0.0
HiSim_simple_district,,AACHEN,BUI1_UTSPConnector|Any|NumberByResidents,-,2021,1.6565476190476192
HiSim_simple_district,,AACHEN,BUI1_UTSPConnector|Heating|HeatingByResidents,W,2021,213.3581349206349
HiSim_simple_district,,AACHEN,BUI1_UTSPConnector|Heating|HeatingByDevices,W,2021,469.3408220524456
HiSim_simple_district,,AACHEN,BUI1_UTSPConnector|Electricity|ElectricityOutput,W,2021,669.6057517330472
HiSim_simple_district,,AACHEN,BUI1_UTSPConnector|Electricity|ElectricityEnergyOutput,Wh,2021,112493.76629115193
HiSim_simple_district,,AACHEN,BUI1_UTSPConnector|WarmWater|WaterConsumption,L,2021,2954.6796557016332
HiSim_simple_district,,AACHEN,BUI1_PVSystem|Electricity|ElectricityOutput,W,2021,335.1981299541935
