country,min_capacity (kW),max_capacity (kW),FIT
Spain,0,20,0.283
Spain,20,inf,0.15675
Italy,1,3,0.182
Italy,3,20,0.171
Italy,20,200,0.157
Italy,200,1000,0.13
Italy,1000,5000,0.118
Italy,5000,inf,0.112
Bosnia_and_Herzegovina,2,23,0.32
Bosnia_and_Herzegovina,23,150,0.24
Bosnia_and_Herzegovina,150,1000,0.2
Greece,0,10,0.8
Serbia,0,30,0.2066
Serbia,30,500,0.1625
