Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,808557,-,-,-,46.05,14.5,0,301,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Wind Direction,Pressure,Wind Speed
2019,1,1,0,0,-0.4,0,0,0,54,987,0.2
2019,1,1,0,15,-0.4,0,0,0,55,987,0.2
2019,1,1,0,30,-0.30000000000000004,0,0,0,57,987,0.2
2019,1,1,0,45,-0.30000000000000004,0,0,0,58,987,0.2
2019,1,1,1,0,-0.30000000000000004,0,0,0,59,987,0.30000000000000004
2019,1,1,1,15,-0.2,0,0,0,62,987,0.30000000000000004
2019,1,1,1,30,-0.1,0,0,0,66,987,0.30000000000000004
2019,1,1,1,45,-0.1,0,0,0,69,987,0.4
2019,1,1,2,0,0,0,0,0,72,987,0.4
2019,1,1,2,15,0.1,0,0,0,74,987,0.4
2019,1,1,2,30,0.1,0,0,0,75,987,0.4
2019,1,1,2,45,0.1,0,0,0,76,987,0.4
2019,1,1,3,0,0.2,0,0,0,78,987,0.4
2019,1,1,3,15,0.2,0,0,0,80,987,0.4
2019,1,1,3,30,0.2,0,0,0,82,987,0.4
2019,1,1,3,45,0.2,0,0,0,84,987,0.4
2019,1,1,4,0,0.30000000000000004,0,0,0,86,987,0.4
2019,1,1,4,15,0.2,0,0,0,91,987,0.4
2019,1,1,4,30,0.2,0,0,0,96,987,0.4
2019,1,1,4,45,0.1,0,0,0,101,987,0.4
2019,1,1,5,0,0,0,0,0,106,987,0.4
2019,1,1,5,15,-0.1,0,0,0,115,986,0.4
2019,1,1,5,30,-0.2,0,0,0,123,986,0.4
2019,1,1,5,45,-0.30000000000000004,0,0,0,131,986,0.4
2019,1,1,6,0,-0.5,0,0,0,139,986,0.4
2019,1,1,6,15,-0.4,0,0,0,146,986,0.4
2019,1,1,6,30,-0.4,0,0,0,153,986,0.30000000000000004
2019,1,1,6,45,-0.30000000000000004,0,0,0,159,986,0.2
2019,1,1,7,0,-0.30000000000000004,13,161,18,166,986,0.2
2019,1,1,7,15,0.30000000000000004,23,280,41,181,986,0.2
2019,1,1,7,30,0.8,25,0,25,197,986,0.1
2019,1,1,7,45,1.4000000000000001,36,0,36,213,986,0.1
2019,1,1,8,0,1.9000000000000001,43,525,128,229,986,0.1
2019,1,1,8,15,2.4000000000000004,61,0,61,233,986,0.1
2019,1,1,8,30,2.9000000000000004,74,0,74,237,986,0.1
2019,1,1,8,45,3.3000000000000003,86,3,87,241,985,0.1
2019,1,1,9,0,3.8000000000000003,56,697,241,245,985,0.1
2019,1,1,9,15,4.1000000000000005,106,18,111,248,985,0.1
2019,1,1,9,30,4.4,61,743,287,251,985,0.2
2019,1,1,9,45,4.7,64,753,304,253,985,0.2
2019,1,1,10,0,5,65,765,319,256,984,0.2
2019,1,1,10,15,5.1000000000000005,67,774,332,256,984,0.2
2019,1,1,10,30,5.1000000000000005,67,781,341,256,984,0.2
2019,1,1,10,45,5.2,69,780,346,256,984,0.2
2019,1,1,11,0,5.300000000000001,146,223,226,256,983,0.2
2019,1,1,11,15,5.2,129,369,261,256,983,0.2
2019,1,1,11,30,5.2,134,322,248,256,983,0.2
2019,1,1,11,45,5.1000000000000005,131,317,242,255,983,0.2
2019,1,1,12,0,5,142,140,190,255,982,0.2
2019,1,1,12,15,4.800000000000001,63,0,63,255,982,0.2
2019,1,1,12,30,4.7,102,0,102,256,982,0.2
2019,1,1,12,45,4.5,109,315,203,256,982,0.2
2019,1,1,13,0,4.3,112,174,160,256,982,0.2
2019,1,1,13,15,3.9000000000000004,102,57,116,256,982,0.1
2019,1,1,13,30,3.4000000000000004,92,142,126,255,981,0.1
2019,1,1,13,45,2.9000000000000004,79,39,87,255,981,0.1
2019,1,1,14,0,2.5,67,30,72,255,981,0.1
2019,1,1,14,15,1.9000000000000001,55,21,58,254,981,0.1
2019,1,1,14,30,1.2000000000000002,42,14,44,254,981,0.1
2019,1,1,14,45,0.6000000000000001,30,2,31,254,981,0.1
2019,1,1,15,0,0,18,0,18,254,981,0.1
2019,1,1,15,15,0,12,164,15,254,980,0.1
2019,1,1,15,30,-0.1,0,0,0,254,980,0.1
2019,1,1,15,45,-0.2,0,0,0,255,980,0.1
2019,1,1,16,0,-0.2,0,0,0,255,980,0.1
2019,1,1,16,15,-0.1,0,0,0,255,980,0.1
2019,1,1,16,30,0.1,0,0,0,256,980,0.1
2019,1,1,16,45,0.2,0,0,0,256,980,0.1
2019,1,1,17,0,0.4,0,0,0,256,980,0.1
2019,1,1,17,15,0.5,0,0,0,257,980,0.1
2019,1,1,17,30,0.7000000000000001,0,0,0,257,979,0.1
2019,1,1,17,45,0.8,0,0,0,258,979,0.1
2019,1,1,18,0,1,0,0,0,259,979,0.1
2019,1,1,18,15,1,0,0,0,259,979,0.1
2019,1,1,18,30,1.1,0,0,0,260,979,0.1
2019,1,1,18,45,1.1,0,0,0,260,979,0.1
2019,1,1,19,0,1.1,0,0,0,261,979,0.1
2019,1,1,19,15,1.2000000000000002,0,0,0,260,978,0.1
2019,1,1,19,30,1.2000000000000002,0,0,0,260,978,0.1
2019,1,1,19,45,1.2000000000000002,0,0,0,259,978,0.1
2019,1,1,20,0,1.2000000000000002,0,0,0,259,978,0.1
2019,1,1,20,15,1.2000000000000002,0,0,0,258,978,0.1
2019,1,1,20,30,1.2000000000000002,0,0,0,258,978,0.1
2019,1,1,20,45,1.3,0,0,0,258,977,0.1
2019,1,1,21,0,1.3,0,0,0,257,977,0.1
2019,1,1,21,15,1.3,0,0,0,258,977,0.1
2019,1,1,21,30,1.3,0,0,0,259,977,0.1
2019,1,1,21,45,1.4000000000000001,0,0,0,260,977,0.1
2019,1,1,22,0,1.4000000000000001,0,0,0,261,976,0.1
2019,1,1,22,15,1.4000000000000001,0,0,0,263,976,0.1
2019,1,1,22,30,1.4000000000000001,0,0,0,264,976,0.1
2019,1,1,22,45,1.4000000000000001,0,0,0,266,976,0.1
2019,1,1,23,0,1.4000000000000001,0,0,0,267,976,0.1
2019,1,1,23,15,1.4000000000000001,0,0,0,267,976,0.1
2019,1,1,23,30,1.4000000000000001,0,0,0,267,976,0.1
2019,1,1,23,45,1.4000000000000001,0,0,0,267,976,0.1
2019,1,2,0,0,1.3,0,0,0,284,975,0.1
2019,1,2,0,15,1.2000000000000002,0,0,0,287,975,0.1
2019,1,2,0,30,1.1,0,0,0,291,975,0.1
2019,1,2,0,45,1,0,0,0,294,975,0.1
2019,1,2,1,0,0.9,0,0,0,297,975,0.1
2019,1,2,1,15,0.6000000000000001,0,0,0,304,975,0.1
2019,1,2,1,30,0.4,0,0,0,310,975,0.1
2019,1,2,1,45,0.2,0,0,0,316,975,0.1
2019,1,2,2,0,0,0,0,0,322,975,0.2
2019,1,2,2,15,-0.2,0,0,0,242,975,0.2
2019,1,2,2,30,-0.30000000000000004,0,0,0,162,975,0.1
2019,1,2,2,45,-0.4,0,0,0,81,975,0.1
2019,1,2,3,0,-0.6000000000000001,0,0,0,1,975,0.1
2019,1,2,3,15,-0.7000000000000001,0,0,0,4,975,0.1
2019,1,2,3,30,-0.7000000000000001,0,0,0,7,975,0.1
2019,1,2,3,45,-0.8,0,0,0,10,975,0.1
2019,1,2,4,0,-0.9,0,0,0,14,975,0.1
2019,1,2,4,15,-0.9,0,0,0,12,975,0.1
2019,1,2,4,30,-0.9,0,0,0,10,975,0.1
2019,1,2,4,45,-0.9,0,0,0,9,975,0.1
2019,1,2,5,0,-0.9,0,0,0,7,975,0.1
2019,1,2,5,15,-1.1,0,0,0,92,975,0.2
2019,1,2,5,30,-1.3,0,0,0,177,975,0.2
2019,1,2,5,45,-1.5,0,0,0,261,975,0.2
2019,1,2,6,0,-1.7000000000000002,0,0,0,346,975,0.30000000000000004
2019,1,2,6,15,-1.4000000000000001,0,0,0,344,975,0.2
2019,1,2,6,30,-1.1,0,0,0,342,975,0.2
2019,1,2,6,45,-0.7000000000000001,0,0,0,339,976,0.2
2019,1,2,7,0,-0.4,13,285,22,337,976,0.1
2019,1,2,7,15,0.30000000000000004,21,416,47,336,976,0.1
2019,1,2,7,30,1.1,27,514,77,336,976,0.1
2019,1,2,7,45,1.8,32,588,109,335,976,0.1
2019,1,2,8,0,2.6,36,648,141,335,976,0.1
2019,1,2,8,15,3,40,696,172,336,976,0.2
2019,1,2,8,30,3.4000000000000004,43,734,202,337,976,0.2
2019,1,2,8,45,3.9000000000000004,44,770,231,338,976,0.2
2019,1,2,9,0,4.3,46,795,258,340,976,0.2
2019,1,2,9,15,4.6000000000000005,48,816,282,342,976,0.2
2019,1,2,9,30,4.800000000000001,50,833,303,344,975,0.2
2019,1,2,9,45,5.1000000000000005,53,837,321,346,975,0.2
2019,1,2,10,0,5.4,54,848,337,348,975,0.2
2019,1,2,10,15,5.4,55,856,349,350,975,0.2
2019,1,2,10,30,5.5,142,235,225,352,975,0.30000000000000004
2019,1,2,10,45,5.5,146,230,228,353,975,0.30000000000000004
2019,1,2,11,0,5.6000000000000005,60,845,364,355,975,0.30000000000000004
2019,1,2,11,15,5.5,60,844,363,356,975,0.30000000000000004
2019,1,2,11,30,5.4,149,89,181,357,975,0.30000000000000004
2019,1,2,11,45,5.300000000000001,65,0,65,358,975,0.30000000000000004
2019,1,2,12,0,5.2,143,116,183,359,975,0.30000000000000004
2019,1,2,12,15,4.9,134,57,153,270,975,0.30000000000000004
2019,1,2,12,30,4.6000000000000005,37,0,37,180,975,0.30000000000000004
2019,1,2,12,45,4.3,92,0,92,91,975,0.30000000000000004
2019,1,2,13,0,4,18,0,18,1,976,0.30000000000000004
2019,1,2,13,15,3.7,17,0,17,1,976,0.30000000000000004
2019,1,2,13,30,3.3000000000000003,15,0,15,1,976,0.30000000000000004
2019,1,2,13,45,2.9000000000000004,34,0,34,1,976,0.30000000000000004
2019,1,2,14,0,2.5,42,673,167,1,976,0.2
2019,1,2,14,15,1.9000000000000001,38,622,135,1,976,0.2
2019,1,2,14,30,1.4000000000000001,33,557,103,1,976,0.2
2019,1,2,14,45,0.9,28,470,71,1,977,0.2
2019,1,2,15,0,0.30000000000000004,21,360,41,1,977,0.2
