Ort 	          : Seville
Breitengrad       : 37.37
Längengrad	  : -5.98
Hoehenlage        : 14  Meter ueber NN


Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2005-2020



Year,MM,DD,HH,Minute,Temperature,DHI,GHI,DNI,Pressure,Surface Albedo,Wind Direction,Wind Speed
2019,1,1,1,30,8.7,0,0,0,1023,0.17,49,2.04
2019,1,1,2,30,7.9,0,0,0,1023,0.17,48,2.03
2019,1,1,3,30,7.09,0,0,0,1023,0.17,46,2.03
2019,1,1,4,30,6.28,0,0,0,1023,0.17,45,2.02
2019,1,1,5,30,5.48,0,0,0,1023,0.17,46,2.02
2019,1,1,6,30,4.67,0,0,0,1023,0.17,48,2.01
2019,1,1,7,30,3.86,0,0,0,1024,0.17,48,2.01
2019,1,1,8,30,3.05,0,0,0,1024,0.17,41,2
2019,1,1,9,30,4.34,25,52,340.72,1025,0.17,36,2.07
2019,1,1,10,30,6.3,59,220,673.39,1025,0.17,38,1.59
2019,1,1,11,30,10.22,75,367,796.8,1025,0.17,45,1.72
2019,1,1,12,30,12.78,82,473,863.72,1024,0.17,47,1.59
2019,1,1,13,30,14.83,110,505,803.01,1023,0.17,45,1.31
2019,1,1,14,30,16.29,34,530,1030.32,1023,0.17,45,1.24
2019,1,1,15,30,17.23,156,379,528.52,1023,0.17,45,1.24
2019,1,1,16,30,17.61,151,183,100.78,1023,0.17,48,1.31
2019,1,1,17,30,17.25,76,94,102.67,1023,0.17,50,1.03
2019,1,1,18,30,15.77,0,0,0,1024,0.17,43,1.1
2019,1,1,19,30,14.15,0,0,0,1024,0.17,17,1.03
2019,1,1,20,30,13.81,0,0,0,1024,0.17,272,0.69
2019,1,1,21,30,12.41,0,0,0,1024,0.17,296,0.83
2019,1,1,22,30,10.14,0,0,0,1024,0.17,324,1.17
2019,1,1,23,30,8.53,0,0,0,1024,0.17,336,1.17
2019,1,1,24,30,7.97,0,0,0,1024,0.17,342,1.03
2019,1,2,1,30,7.73,0,0,0,1024,0.16,342,0.62
2019,1,2,2,30,7.42,0,0,0,1024,0.16,354,0.48
2019,1,2,3,30,7.06,0,0,0,1024,0.16,29,0.69
2019,1,2,4,30,5.66,0,0,0,1023,0.16,48,1.17
2019,1,2,5,30,4.05,0,0,0,1023,0.16,48,1.66
2019,1,2,6,30,3.64,0,0,0,1023,0.16,43,1.72
2019,1,2,7,30,3.41,0,0,0,1022,0.16,35,1.79
2019,1,2,8,30,2.78,0,0,0,1023,0.16,36,1.52
2019,1,2,9,30,2.32,25,51,329.13,1023,0.16,26,1.66
2019,1,2,10,30,4.9,58,221,681.59,1023,0.16,19,0.97
2019,1,2,11,30,8.96,75,370,804.08,1022,0.16,24,0.83
2019,1,2,12,30,11.74,90,471,840.14,1021,0.16,25,0.69
