Tue Nov  2 15:15:33 2021    output.dat

         383223021 function calls (361415256 primitive calls) in 312.193 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 63364680   12.628    0.000   12.628    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\component.py:71(set_output_value)
 49709957    6.052    0.000    6.052    0.000 {method 'get' of 'dict' objects}
 34883750    4.268    0.000    4.268    0.000 {built-in method builtins.id}
 29977346    2.927    0.000    2.927    0.000 {built-in method builtins.abs}
 27869881    6.722    0.000    6.722    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\component.py:66(get_input_value)
23692419/2150355   32.962    0.000   75.609    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.2032.0_x64__qbz5n2kfra8p0\lib\copy.py:128(deepcopy)
 19015345    2.106    0.000    2.106    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.2032.0_x64__qbz5n2kfra8p0\lib\copy.py:182(_deepcopy_atomic)
 11373145    6.546    0.000   68.043    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\simulator.py:66(restore_state)
 11373145    6.888    0.000   92.284    0.000 C:\Users\Maximilian\PycharmProjects\hisimupdated\HiSim\hisim\simulator.py:69(calculate_component)
5172487/5167762    1.122    0.000    1.336    0.000 {built-in method builtins.getattr}
5056848/5056834    0.995    0.000    1.073    0.000 {built-in method builtins.isinstance}
  4676028    4.770    0.000    5.992    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.2032.0_x64__qbz5n2kfra8p0\lib\copy.py:242(_keep_alive)
  4303700    1.508    0.000    5.433    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.2032.0_x64__qbz5n2kfra8p0\lib\copy.py:263(<genexpr>)
3854567/3854553    0.827    0.000    0.831    0.000 {built-in method builtins.hasattr}
