datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2]
2015-01-01 00:00:00+01:00,-6.3,1018,128,3.3,0,75,0,0
2015-01-01 01:00:00+01:00,-5.9,1018,135,3.2,1,75,0,0
2015-01-01 02:00:00+01:00,-6.1,1017,134,3.2,0,75,0,0
2015-01-01 03:00:00+01:00,-7.0,1016,146,3.7,2,76,0,0
2015-01-01 04:00:00+01:00,-7.4,1015,156,4.0,2,78,0,0
2015-01-01 05:00:00+01:00,-8.1,1015,157,3.7,5,84,0,0
2015-01-01 06:00:00+01:00,-7.9,1013,172,3.0,8,88,0,0
2015-01-01 07:00:00+01:00,-7.3,1013,143,3.0,8,88,0,0
2015-01-01 08:00:00+01:00,-6.6,1012,142,2.5,8,89,0,0
2015-01-01 09:00:00+01:00,-6.2,1011,136,3.4,8,90,0,8
2015-01-01 10:00:00+01:00,-5.5,1010,155,3.2,8,91,0,19
2015-01-01 11:00:00+01:00,-4.9,1009,144,3.3,8,90,0,28
2015-01-01 12:00:00+01:00,-4.7,1007,147,3.1,6,89,0,48
2015-01-01 13:00:00+01:00,-4.5,1006,138,3.1,7,88,0,64
2015-01-01 14:00:00+01:00,-4.1,1004,153,3.7,8,88,0,17
2015-01-01 15:00:00+01:00,-3.5,1003,135,4.1,8,88,0,5
2015-01-01 16:00:00+01:00,-3.1,1001,135,3.5,8,87,0,0
2015-01-01 17:00:00+01:00,-2.7,999,127,3.5,8,88,0,0
2015-01-01 18:00:00+01:00,-2.3,997,126,3.4,7,90,0,0
2015-01-01 19:00:00+01:00,-2.0,996,131,2.9,8,91,0,0
2015-01-01 20:00:00+01:00,-1.8,994,135,3.3,8,92,0,0
2015-01-01 21:00:00+01:00,-0.9,992,123,3.3,8,95,0,0
2015-01-01 22:00:00+01:00,0.0,990,130,2.6,8,96,0,0
2015-01-01 23:00:00+01:00,0.5,988,127,2.6,8,95,0,0
2015-01-02 00:00:00+01:00,0.8,987,138,2.6,8,94,0,0
2015-01-02 01:00:00+01:00,1.0,986,103,2.3,8,96,0,0
2015-01-02 02:00:00+01:00,1.0,985,142,2.2,7,97,0,0
2015-01-02 03:00:00+01:00,1.1,985,167,2.9,8,96,0,0
2015-01-02 04:00:00+01:00,4.8,985,254,3.9,8,97,0,0
2015-01-02 05:00:00+01:00,3.8,985,295,5.4,8,98,0,0
2015-01-02 06:00:00+01:00,2.7,986,287,4.9,8,98,0,0
2015-01-02 07:00:00+01:00,1.9,987,292,4.2,8,98,0,0
2015-01-02 08:00:00+01:00,1.4,987,278,3.0,8,98,0,0
2015-01-02 09:00:00+01:00,1.1,988,305,2.5,8,97,0,32
2015-01-02 10:00:00+01:00,0.9,988,320,1.6,5,97,5,71
2015-01-02 11:00:00+01:00,0.8,988,24,0.9,7,98,0,62
2015-01-02 12:00:00+01:00,0.8,987,51,0.0,8,99,0,50
2015-01-02 13:00:00+01:00,0.8,986,64,1.5,7,99,0,33
2015-01-02 14:00:00+01:00,1.0,985,97,2.5,7,97,0,15
2015-01-02 15:00:00+01:00,1.0,984,86,2.0,8,96,0,4
2015-01-02 16:00:00+01:00,0.7,983,106,2.3,8,97,0,0
2015-01-02 17:00:00+01:00,0.5,983,107,1.9,8,97,0,0
2015-01-02 18:00:00+01:00,0.6,982,101,2.5,7,95,0,0
2015-01-02 19:00:00+01:00,0.7,982,47,2.9,8,94,0,0
2015-01-02 20:00:00+01:00,0.6,982,57,2.6,8,94,0,0
2015-01-02 21:00:00+01:00,0.6,982,59,2.9,8,95,0,0
2015-01-02 22:00:00+01:00,0.5,982,53,3.3,8,94,0,0
2015-01-02 23:00:00+01:00,0.6,982,39,3.3,8,94,0,0
2015-01-03 00:00:00+01:00,0.6,983,57,3.0,8,93,0,0
2015-01-03 01:00:00+01:00,0.5,984,51,2.9,7,94,0,0
2015-01-03 02:00:00+01:00,0.5,985,38,3.1,8,95,0,0
2015-01-03 03:00:00+01:00,0.7,986,55,2.9,8,94,0,0
2015-01-03 04:00:00+01:00,0.6,988,32,1.6,8,94,0,0
2015-01-03 05:00:00+01:00,0.4,989,28,1.7,8,94,0,0
2015-01-03 06:00:00+01:00,0.1,990,22,1.4,8,95,0,0
2015-01-03 07:00:00+01:00,-0.1,991,22,1.3,8,97,0,0
2015-01-03 08:00:00+01:00,-0.3,993,26,1.6,8,96,0,0
2015-01-03 09:00:00+01:00,-0.5,994,44,1.5,8,95,0,9
2015-01-03 10:00:00+01:00,-0.5,995,34,1.6,8,95,0,25
2015-01-03 11:00:00+01:00,-0.5,995,54,1.4,8,95,0,32
2015-01-03 12:00:00+01:00,-0.3,995,39,1.5,8,95,0,38
2015-01-03 13:00:00+01:00,-0.3,996,32,1.4,7,94,0,39
2015-01-03 14:00:00+01:00,-0.4,996,26,1.3,8,94,0,18
2015-01-03 15:00:00+01:00,-0.3,996,43,1.1,8,95,0,5
2015-01-03 16:00:00+01:00,-0.3,997,41,1.2,8,95,0,0
2015-01-03 17:00:00+01:00,-0.3,997,21,1.3,8,95,0,0
2015-01-03 18:00:00+01:00,-0.2,997,14,1.2,7,95,0,0
2015-01-03 19:00:00+01:00,-0.4,998,43,1.6,7,95,0,0
2015-01-03 20:00:00+01:00,-0.6,998,39,1.7,8,95,0,0
2015-01-03 21:00:00+01:00,-0.7,998,17,1.6,8,96,0,0
2015-01-03 22:00:00+01:00,-0.7,999,16,1.6,8,96,0,0
2015-01-03 23:00:00+01:00,-0.8,999,17,1.7,7,95,0,0
2015-01-04 00:00:00+01:00,-0.9,1000,3,1.8,8,97,0,0
2015-01-04 01:00:00+01:00,-0.9,1000,333,1.7,8,98,0,0
2015-01-04 02:00:00+01:00,-1.3,1001,341,1.9,8,97,0,0
2015-01-04 03:00:00+01:00,-1.5,1001,350,1.7,8,96,0,0
2015-01-04 04:00:00+01:00,-1.5,1002,333,1.8,8,96,0,0
2015-01-04 05:00:00+01:00,-1.5,1003,7,1.7,8,96,0,0
2015-01-04 06:00:00+01:00,-1.3,1003,16,2.3,8,98,0,0
2015-01-04 07:00:00+01:00,-2.1,1004,16,2.3,8,97,0,0
2015-01-04 08:00:00+01:00,-2.4,1005,25,2.0,8,95,0,0
2015-01-04 09:00:00+01:00,-2.5,1006,35,1.8,7,94,0,28
2015-01-04 10:00:00+01:00,-2.5,1007,28,2.0,6,94,2,61
2015-01-04 11:00:00+01:00,-2.5,1008,28,1.9,6,94,0,42
2015-01-04 12:00:00+01:00,-3.0,1008,30,2.9,7,93,0,37
2015-01-04 13:00:00+01:00,-3.5,1009,31,3.2,6,90,0,49
2015-01-04 14:00:00+01:00,-3.9,1009,32,2.8,7,88,0,36
2015-01-04 15:00:00+01:00,-4.7,1010,42,3.1,8,88,0,13
2015-01-04 16:00:00+01:00,-4.7,1011,30,2.6,7,88,0,0
2015-01-04 17:00:00+01:00,-5.2,1011,18,2.4,6,87,0,0
2015-01-04 18:00:00+01:00,-6.5,1012,345,2.2,5,89,0,0
2015-01-04 19:00:00+01:00,-6.9,1012,313,2.3,6,91,0,0
2015-01-04 20:00:00+01:00,-6.1,1012,344,1.8,7,92,0,0
2015-01-04 21:00:00+01:00,-6.4,1013,338,1.5,2,91,0,0
2015-01-04 22:00:00+01:00,-8.4,1013,329,1.8,1,90,0,0
2015-01-04 23:00:00+01:00,-9.5,1014,326,2.1,2,92,0,0
2015-01-05 00:00:00+01:00,-11.3,1014,289,1.6,3,92,0,0
2015-01-05 01:00:00+01:00,-13.1,1013,321,1.8,3,93,0,0
2015-01-05 02:00:00+01:00,-13.6,1013,357,1.7,2,94,0,0
2015-01-05 03:00:00+01:00,-13.5,1013,346,2.0,0,93,0,0
2015-01-05 04:00:00+01:00,-13.8,1013,239,2.2,0,90,0,0
2015-01-05 05:00:00+01:00,-13.7,1013,198,2.1,0,88,0,0
2015-01-05 06:00:00+01:00,-10.4,1012,213,2.3,4,90,0,0
2015-01-05 07:00:00+01:00,-8.4,1011,207,2.5,7,91,0,0
2015-01-05 08:00:00+01:00,-7.5,1011,219,3.0,7,90,0,0
2015-01-05 09:00:00+01:00,-6.6,1011,223,3.1,8,89,0,12
2015-01-05 10:00:00+01:00,-5.9,1010,225,3.4,7,91,0,41
2015-01-05 11:00:00+01:00,-4.9,1010,227,3.7,7,91,0,54
2015-01-05 12:00:00+01:00,-4.3,1009,231,4.0,8,90,0,41
2015-01-05 13:00:00+01:00,-3.8,1008,235,4.5,8,90,0,28
2015-01-05 14:00:00+01:00,-3.6,1007,237,4.2,7,92,0,21
2015-01-05 15:00:00+01:00,-3.2,1007,235,4.6,8,93,0,6
2015-01-05 16:00:00+01:00,-3.0,1006,232,4.5,8,94,0,0
2015-01-05 17:00:00+01:00,-2.3,1006,239,5.1,8,94,0,0
2015-01-05 18:00:00+01:00,-2.3,1005,233,4.7,8,94,0,0
2015-01-05 19:00:00+01:00,-1.6,1005,253,4.1,8,95,0,0
2015-01-05 20:00:00+01:00,-1.0,1005,263,4.1,7,95,0,0
2015-01-05 21:00:00+01:00,-1.2,1005,294,4.2,8,95,0,0
2015-01-05 22:00:00+01:00,-3.1,1005,316,4.3,8,92,0,0
2015-01-05 23:00:00+01:00,-3.9,1005,297,3.7,7,90,0,0
2015-01-06 00:00:00+01:00,-3.7,1005,299,2.1,8,89,0,0
2015-01-06 01:00:00+01:00,-3.6,1006,313,1.8,8,87,0,0
2015-01-06 02:00:00+01:00,-3.6,1006,307,1.5,8,86,0,0
2015-01-06 03:00:00+01:00,-4.2,1007,334,0.0,8,86,0,0
2015-01-06 04:00:00+01:00,-4.3,1007,307,0.3,8,87,0,0
2015-01-06 05:00:00+01:00,-4.4,1007,359,0.9,8,89,0,0
2015-01-06 06:00:00+01:00,-4.3,1008,6,2.8,7,89,0,0
2015-01-06 07:00:00+01:00,-4.1,1008,4,3.2,7,88,0,0
2015-01-06 08:00:00+01:00,-4.1,1009,356,3.0,8,88,0,0
2015-01-06 09:00:00+01:00,-4.1,1010,10,3.0,8,90,0,23
2015-01-06 10:00:00+01:00,-2.8,1011,28,3.3,7,91,0,36
2015-01-06 11:00:00+01:00,-3.4,1012,49,4.5,6,88,3,80
2015-01-06 12:00:00+01:00,-4.0,1013,42,3.8,3,86,25,115
2015-01-06 13:00:00+01:00,-4.0,1013,43,4.6,4,85,2,76
2015-01-06 14:00:00+01:00,-3.7,1014,58,4.3,3,85,7,67
2015-01-06 15:00:00+01:00,-3.7,1015,39,4.7,7,85,2,28
2015-01-06 16:00:00+01:00,-5.1,1016,31,4.4,5,84,0,0
2015-01-06 17:00:00+01:00,-6.4,1017,31,3.7,3,85,0,0
