datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2]
2045-01-01 00:00:00+01:00,0.7,1011,129,2.8,5,88,0,0
2045-01-01 01:00:00+01:00,-0.6,1011,114,2.4,4,90,0,0
2045-01-01 02:00:00+01:00,-1.5,1010,105,1.9,4,91,0,0
2045-01-01 03:00:00+01:00,-1.8,1010,109,1.8,4,91,0,0
2045-01-01 04:00:00+01:00,-1.8,1009,111,1.7,5,90,0,0
2045-01-01 05:00:00+01:00,-1.9,1008,113,2.0,7,90,0,0
2045-01-01 06:00:00+01:00,-1.8,1007,114,1.9,7,88,0,0
2045-01-01 07:00:00+01:00,-0.6,1006,148,3.1,7,83,0,0
2045-01-01 08:00:00+01:00,0.0,1005,147,3.4,7,77,0,0
2045-01-01 09:00:00+01:00,0.0,1004,150,2.6,7,74,0,20
2045-01-01 10:00:00+01:00,0.6,1004,138,4.2,7,72,0,55
2045-01-01 11:00:00+01:00,0.5,1003,161,4.8,7,73,0,76
2045-01-01 12:00:00+01:00,0.4,1002,167,3.5,8,73,0,66
2045-01-01 13:00:00+01:00,0.7,1001,164,3.7,8,73,0,37
2045-01-01 14:00:00+01:00,0.6,1000,162,3.3,8,73,0,36
2045-01-01 15:00:00+01:00,0.9,999,139,3.1,8,73,0,23
2045-01-01 16:00:00+01:00,0.7,999,103,2.6,8,72,0,0
2045-01-01 17:00:00+01:00,1.1,999,101,3.1,8,71,0,0
2045-01-01 18:00:00+01:00,0.9,998,95,3.0,7,71,0,0
2045-01-01 19:00:00+01:00,0.8,998,110,3.4,8,71,0,0
2045-01-01 20:00:00+01:00,0.9,998,101,3.7,8,70,0,0
2045-01-01 21:00:00+01:00,1.1,998,96,3.6,7,70,0,0
2045-01-01 22:00:00+01:00,0.7,998,94,3.8,7,70,0,0
2045-01-01 23:00:00+01:00,1.1,998,100,4.0,8,68,0,0
2045-01-02 00:00:00+01:00,0.6,999,79,2.9,8,69,0,0
2045-01-02 01:00:00+01:00,-0.3,999,73,2.5,8,73,0,0
2045-01-02 02:00:00+01:00,-0.3,999,68,3.0,8,76,0,0
2045-01-02 03:00:00+01:00,-1.1,1000,70,3.2,6,77,0,0
2045-01-02 04:00:00+01:00,-1.0,1000,69,3.4,6,76,0,0
2045-01-02 05:00:00+01:00,-1.0,1000,70,4.0,6,75,0,0
2045-01-02 06:00:00+01:00,-1.3,1001,71,3.7,8,74,0,0
2045-01-02 07:00:00+01:00,-2.2,1002,70,4.4,6,75,0,0
2045-01-02 08:00:00+01:00,-2.5,1003,78,4.0,4,76,0,0
2045-01-02 09:00:00+01:00,-2.8,1004,69,4.5,5,76,13,39
2045-01-02 10:00:00+01:00,-2.2,1005,49,4.8,3,74,47,78
2045-01-02 11:00:00+01:00,-2.2,1006,63,4.7,3,73,94,96
2045-01-02 12:00:00+01:00,-1.7,1007,63,5.2,3,72,161,80
2045-01-02 13:00:00+01:00,-1.9,1007,61,5.0,5,71,61,100
2045-01-02 14:00:00+01:00,-2.1,1007,59,4.9,5,72,61,71
2045-01-02 15:00:00+01:00,-2.3,1008,70,4.9,5,72,29,36
2045-01-02 16:00:00+01:00,-2.4,1009,65,4.3,5,72,0,6
2045-01-02 17:00:00+01:00,-2.4,1010,64,4.3,4,72,0,0
2045-01-02 18:00:00+01:00,-2.6,1010,42,3.6,3,74,0,0
2045-01-02 19:00:00+01:00,-2.8,1011,50,3.5,2,77,0,0
2045-01-02 20:00:00+01:00,-2.9,1011,61,2.7,2,80,0,0
2045-01-02 21:00:00+01:00,-3.7,1012,58,1.4,0,83,0,0
