datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2]
2045-01-01 00:00:00+01:00,-0.9,985,160,5.0,7,92,0,0
2045-01-01 01:00:00+01:00,-1.1,985,204,5.5,8,92,0,0
2045-01-01 02:00:00+01:00,-1.4,984,238,5.9,8,90,0,0
2045-01-01 03:00:00+01:00,-1.6,984,237,6.0,8,90,0,0
2045-01-01 04:00:00+01:00,-1.7,983,237,6.3,8,89,0,0
2045-01-01 05:00:00+01:00,-2.0,982,243,6.0,8,88,0,0
2045-01-01 06:00:00+01:00,-1.7,982,242,8.1,7,88,0,0
2045-01-01 07:00:00+01:00,-1.2,981,241,7.5,7,88,0,0
2045-01-01 08:00:00+01:00,-1.0,981,231,7.8,8,89,0,8
2045-01-01 09:00:00+01:00,-0.4,980,242,7.8,8,89,1,39
2045-01-01 10:00:00+01:00,0.3,980,244,8.6,8,91,0,45
2045-01-01 11:00:00+01:00,0.7,979,242,7.9,7,92,0,56
2045-01-01 12:00:00+01:00,0.8,979,249,8.4,8,92,0,49
2045-01-01 13:00:00+01:00,0.9,978,258,7.9,8,92,0,38
2045-01-01 14:00:00+01:00,0.9,978,253,8.2,7,92,0,28
2045-01-01 15:00:00+01:00,0.8,979,251,6.7,8,94,0,7
2045-01-01 16:00:00+01:00,0.6,979,259,6.0,8,96,0,0
2045-01-01 17:00:00+01:00,0.6,979,293,4.3,7,96,0,0
2045-01-01 18:00:00+01:00,-0.1,980,259,6.0,7,96,0,0
2045-01-01 19:00:00+01:00,0.2,980,270,5.7,7,96,0,0
2045-01-01 20:00:00+01:00,0.2,980,262,5.3,7,95,0,0
2045-01-01 21:00:00+01:00,0.1,980,268,5.8,7,96,0,0
2045-01-01 22:00:00+01:00,-0.2,980,262,6.3,8,96,0,0
2045-01-01 23:00:00+01:00,-0.3,980,260,5.9,8,95,0,0
2045-01-02 00:00:00+01:00,-0.4,980,261,5.6,7,95,0,0
2045-01-02 01:00:00+01:00,-0.5,980,260,5.3,8,96,0,0
2045-01-02 02:00:00+01:00,-0.7,980,261,4.0,8,95,0,0
2045-01-02 03:00:00+01:00,-0.5,980,281,4.1,8,92,0,0
2045-01-02 04:00:00+01:00,-0.8,980,252,4.5,8,91,0,0
2045-01-02 05:00:00+01:00,-1.0,980,243,4.9,8,93,0,0
2045-01-02 06:00:00+01:00,-1.0,980,250,5.7,8,93,0,0
2045-01-02 07:00:00+01:00,-1.3,980,260,5.0,8,94,0,0
2045-01-02 08:00:00+01:00,-1.0,980,269,5.1,8,96,1,12
