datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2]
2015-01-01 00:00:00+01:00,-3.5,1025,76,1.9,5,86,0,0
2015-01-01 01:00:00+01:00,-4.9,1025,92,1.3,4,91,0,0
2015-01-01 02:00:00+01:00,-5.9,1025,95,0.7,3,94,0,0
2015-01-01 03:00:00+01:00,-5.9,1024,97,0.6,2,94,0,0
2015-01-01 04:00:00+01:00,-5.8,1024,76,0.6,2,94,0,0
2015-01-01 05:00:00+01:00,-5.6,1023,93,0.4,2,95,0,0
2015-01-01 06:00:00+01:00,-5.8,1022,86,0.8,3,95,0,0
2015-01-01 07:00:00+01:00,-5.6,1021,120,0.6,3,94,0,0
2015-01-01 08:00:00+01:00,-5.0,1021,118,1.3,4,94,0,0
2015-01-01 09:00:00+01:00,-4.1,1021,119,1.9,5,93,0,28
2015-01-01 10:00:00+01:00,-3.4,1020,138,2.8,6,91,7,79
2015-01-01 11:00:00+01:00,-2.5,1020,115,2.9,6,88,22,117
2015-01-01 12:00:00+01:00,-2.1,1019,122,3.5,7,85,23,125
2015-01-01 13:00:00+01:00,-2.1,1018,112,3.2,7,83,8,97
2015-01-01 14:00:00+01:00,-2.1,1017,100,2.9,6,82,4,66
2015-01-01 15:00:00+01:00,-2.0,1016,97,2.4,8,83,0,17
2015-01-01 16:00:00+01:00,-1.9,1016,97,3.1,7,83,0,0
2015-01-01 17:00:00+01:00,-1.8,1016,95,2.9,8,83,0,0
2015-01-01 18:00:00+01:00,-1.7,1016,89,2.0,7,85,0,0
2015-01-01 19:00:00+01:00,-1.9,1016,89,1.8,7,86,0,0
2015-01-01 20:00:00+01:00,-1.8,1016,93,2.7,6,88,0,0
2015-01-01 21:00:00+01:00,-1.6,1016,88,2.7,6,88,0,0
2015-01-01 22:00:00+01:00,-1.8,1016,80,3.2,6,88,0,0
2015-01-01 23:00:00+01:00,-2.2,1017,78,2.6,6,88,0,0
2015-01-02 00:00:00+01:00,-3.2,1017,68,2.3,7,90,0,0
2015-01-02 01:00:00+01:00,-3.7,1017,59,2.0,7,92,0,0
