datetime,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2]
2045-01-01 00:00:00+01:00,2.3,1010,140,2.7,6,86,0,0
2045-01-01 01:00:00+01:00,3.1,1010,166,3.0,6,86,0,0
2045-01-01 02:00:00+01:00,3.8,1010,183,3.3,7,86,0,0
2045-01-01 03:00:00+01:00,3.9,1010,188,3.4,7,86,0,0
2045-01-01 04:00:00+01:00,4.1,1010,193,3.5,8,86,0,0
2045-01-01 05:00:00+01:00,4.3,1010,200,3.6,8,85,0,0
2045-01-01 06:00:00+01:00,4.4,1009,198,3.2,8,86,0,0
2045-01-01 07:00:00+01:00,4.5,1009,193,3.9,8,86,0,0
2045-01-01 08:00:00+01:00,4.6,1010,200,3.8,8,88,0,0
2045-01-01 09:00:00+01:00,4.4,1010,198,3.8,8,90,1,29
2045-01-01 10:00:00+01:00,4.6,1010,210,3.6,6,92,7,64
2045-01-01 11:00:00+01:00,4.9,1011,217,4.0,7,94,0,34
2045-01-01 12:00:00+01:00,5.1,1010,221,3.3,5,95,0,37
2045-01-01 13:00:00+01:00,5.5,1010,232,3.3,7,95,0,26
2045-01-01 14:00:00+01:00,6.0,1010,259,2.6,7,94,0,29
2045-01-01 15:00:00+01:00,6.5,1011,286,2.4,8,94,0,14
2045-01-01 16:00:00+01:00,6.7,1011,296,1.7,5,93,0,0
2045-01-01 17:00:00+01:00,6.4,1012,251,0.7,7,93,0,0
2045-01-01 18:00:00+01:00,6.4,1012,256,0.8,6,93,0,0
2045-01-01 19:00:00+01:00,6.3,1013,239,1.2,4,93,0,0
2045-01-01 20:00:00+01:00,5.0,1013,209,1.0,6,94,0,0
2045-01-01 21:00:00+01:00,5.1,1014,208,1.6,8,95,0,0
2045-01-01 22:00:00+01:00,5.0,1014,232,0.8,7,91,0,0
2045-01-01 23:00:00+01:00,5.0,1015,244,1.5,6,91,0,0
2045-01-02 00:00:00+01:00,4.8,1015,259,1.7,6,93,0,0
2045-01-02 01:00:00+01:00,4.9,1016,234,1.5,5,93,0,0
2045-01-02 02:00:00+01:00,4.6,1016,183,0.9,4,93,0,0
2045-01-02 03:00:00+01:00,4.5,1016,225,1.1,5,95,0,0
2045-01-02 04:00:00+01:00,5.1,1016,200,2.1,7,94,0,0
2045-01-02 05:00:00+01:00,4.9,1016,179,2.0,7,93,0,0
2045-01-02 06:00:00+01:00,5.1,1016,206,1.8,8,93,0,0
2045-01-02 07:00:00+01:00,5.1,1016,199,1.5,7,93,0,0
2045-01-02 08:00:00+01:00,4.4,1016,181,2.7,7,93,0,0
2045-01-02 09:00:00+01:00,4.2,1016,191,3.6,6,94,14,43
2045-01-02 10:00:00+01:00,4.6,1016,212,3.4,4,93,73,80
2045-01-02 11:00:00+01:00,5.3,1017,187,4.6,5,92,65,120
2045-01-02 12:00:00+01:00,6.7,1016,208,3.9,6,86,50,130
2045-01-02 13:00:00+01:00,7.0,1016,210,3.8,8,81,0,66
2045-01-02 14:00:00+01:00,7.1,1016,196,3.5,8,81,0,22
2045-01-02 15:00:00+01:00,7.3,1016,204,4.2,7,81,0,10
2045-01-02 16:00:00+01:00,7.4,1015,193,3.8,8,82,0,0
2045-01-02 17:00:00+01:00,7.4,1015,196,3.7,8,82,0,0
2045-01-02 18:00:00+01:00,7.4,1015,193,3.4,8,83,0,0
2045-01-02 19:00:00+01:00,7.8,1015,192,3.0,8,83,0,0
2045-01-02 20:00:00+01:00,7.8,1015,192,3.0,7,83,0,0
2045-01-02 21:00:00+01:00,7.6,1015,191,3.7,7,83,0,0
2045-01-02 22:00:00+01:00,7.6,1015,201,3.8,7,84,0,0
2045-01-02 23:00:00+01:00,7.5,1014,218,3.9,6,84,0,0
2045-01-03 00:00:00+01:00,7.4,1014,203,4.1,5,84,0,0
2045-01-03 01:00:00+01:00,7.3,1014,205,3.7,6,84,0,0
2045-01-03 02:00:00+01:00,7.2,1013,197,4.2,8,84,0,0
2045-01-03 03:00:00+01:00,7.4,1013,194,4.5,7,82,0,0
2045-01-03 04:00:00+01:00,7.5,1013,194,5.1,8,79,0,0
2045-01-03 05:00:00+01:00,7.3,1012,196,5.1,8,79,0,0
2045-01-03 06:00:00+01:00,7.3,1012,204,4.6,8,79,0,0
2045-01-03 07:00:00+01:00,7.4,1012,204,4.4,8,79,0,0
2045-01-03 08:00:00+01:00,7.5,1012,198,5.0,8,79,0,0
2045-01-03 09:00:00+01:00,7.5,1012,207,5.2,8,80,0,11
2045-01-03 10:00:00+01:00,7.8,1012,204,6.5,6,79,2,65
2045-01-03 11:00:00+01:00,8.2,1011,210,6.0,6,78,2,85
2045-01-03 12:00:00+01:00,8.2,1011,214,6.3,7,78,0,55
2045-01-03 13:00:00+01:00,8.5,1011,222,7.7,7,79,0,57
2045-01-03 14:00:00+01:00,8.3,1010,222,8.3,7,80,0,57
2045-01-03 15:00:00+01:00,8.1,1010,211,7.1,8,81,3,37
2045-01-03 16:00:00+01:00,7.4,1009,199,6.4,8,80,0,5
2045-01-03 17:00:00+01:00,6.8,1009,208,6.4,8,79,0,0
2045-01-03 18:00:00+01:00,6.8,1009,202,6.3,8,80,0,0
2045-01-03 19:00:00+01:00,6.5,1009,208,6.4,8,81,0,0
2045-01-03 20:00:00+01:00,6.5,1008,200,7.0,8,82,0,0
2045-01-03 21:00:00+01:00,6.5,1008,199,6.3,8,81,0,0
2045-01-03 22:00:00+01:00,6.8,1008,197,6.9,7,81,0,0
2045-01-03 23:00:00+01:00,6.9,1007,190,6.7,8,80,0,0
2045-01-04 00:00:00+01:00,6.9,1007,200,5.6,8,79,0,0
2045-01-04 01:00:00+01:00,5.9,1006,196,5.3,8,84,0,0
2045-01-04 02:00:00+01:00,6.0,1006,202,5.5,8,90,0,0
2045-01-04 03:00:00+01:00,6.2,1006,217,5.6,8,92,0,0
2045-01-04 04:00:00+01:00,6.6,1006,227,5.7,8,93,0,0
2045-01-04 05:00:00+01:00,6.6,1005,228,5.5,7,94,0,0
2045-01-04 06:00:00+01:00,6.4,1005,227,5.4,8,95,0,0
2045-01-04 07:00:00+01:00,6.8,1005,228,4.4,7,95,0,0
2045-01-04 08:00:00+01:00,6.7,1005,218,4.0,7,95,0,0
2045-01-04 09:00:00+01:00,6.9,1005,204,4.0,8,94,0,13
2045-01-04 10:00:00+01:00,6.9,1005,191,3.9,6,94,0,51
2045-01-04 11:00:00+01:00,6.8,1004,194,3.8,7,95,0,43
2045-01-04 12:00:00+01:00,6.7,1004,185,4.4,8,95,0,45
2045-01-04 13:00:00+01:00,6.9,1003,182,4.7,8,94,0,35
2045-01-04 14:00:00+01:00,7.2,1003,184,4.7,8,93,0,23
2045-01-04 15:00:00+01:00,7.4,1002,194,5.7,8,93,0,11
2045-01-04 16:00:00+01:00,7.6,1001,204,6.2,8,92,0,0
2045-01-04 17:00:00+01:00,8.2,1001,214,7.6,8,92,0,0
2045-01-04 18:00:00+01:00,8.8,1001,223,7.6,7,89,0,0
2045-01-04 19:00:00+01:00,8.7,1001,243,6.9,7,85,0,0
