TRY,year,type,orientation,specific yield [kWh/kWp]
1,2015,a,south,965.2218333333334
1,2015,a,east-west,750.06745
1,2015,a,025-east-west_075-south,911.4306499999999
1,2015,s,south,1084.45695
1,2015,s,east-west,823.3414666666666
1,2015,s,025-east-west_075-south,1019.1767333333332
1,2015,w,south,994.6204333333334
1,2015,w,east-west,777.82835
1,2015,w,025-east-west_075-south,940.4207499999999
1,2045,a,south,1004.8690166666667
1,2045,a,east-west,775.23805
1,2045,a,025-east-west_075-south,947.4558166666666
1,2045,s,south,997.5878499999999
1,2045,s,east-west,767.2674
1,2045,s,025-east-west_075-south,940.004
1,2045,w,south,961.02775
1,2045,w,east-west,744.5068
1,2045,w,025-east-west_075-south,906.8948
2,2015,a,south,993.1799333333333
2,2015,a,east-west,774.7504999999999
2,2015,a,025-east-west_075-south,938.5626333333332
2,2015,s,south,1017.8677666666666
2,2015,s,east-west,780.3594999999999
2,2015,s,025-east-west_075-south,958.4770333333333
2,2015,w,south,1038.9016833333333
2,2015,w,east-west,804.82535
2,2015,w,025-east-west_075-south,980.3722166666666
2,2045,a,south,1003.38525
2,2045,a,east-west,776.3288166666667
2,2045,a,025-east-west_075-south,946.6152
2,2045,s,south,1035.49695
2,2045,s,east-west,801.3921333333333
2,2045,s,025-east-west_075-south,976.9654999999999
2,2045,w,south,1025.3461
2,2045,w,east-west,784.1342
2,2045,w,025-east-west_075-south,965.0364666666667
3,2015,a,south,894.9372166666667
3,2015,a,east-west,701.96585
3,2015,a,025-east-west_075-south,846.6868999999999
3,2015,s,south,1060.6942833333333
3,2015,s,east-west,810.3147
3,2015,s,025-east-west_075-south,998.09755
3,2015,w,south,981.6660166666666
3,2015,w,east-west,760.6410833333333
3,2015,w,025-east-west_075-south,926.4052166666667
3,2045,a,south,1012.1112333333333
3,2045,a,east-west,788.4759666666666
3,2045,a,025-east-west_075-south,956.2023333333333
3,2045,s,south,998.2683
3,2045,s,east-west,788.6878333333334
3,2045,s,025-east-west_075-south,945.8728333333333
3,2045,w,south,937.7715166666666
3,2045,w,east-west,737.9713833333333
3,2045,w,025-east-west_075-south,887.81845
4,2015,a,south,997.2432833333334
4,2015,a,east-west,778.7544999999999
4,2015,a,025-east-west_075-south,942.6208166666667
4,2015,s,south,1048.9063333333334
4,2015,s,east-west,812.9987
4,2015,s,025-east-west_075-south,989.9278833333333
4,2015,w,south,1053.9925166666667
4,2015,w,east-west,809.5328333333333
4,2015,w,025-east-west_075-south,992.8765166666667
4,2045,a,south,1029.1975833333333
4,2045,a,east-west,790.3138333333334
4,2045,a,025-east-west_075-south,969.47595
4,2045,s,south,1062.5402833333333
4,2045,s,east-west,825.4583
4,2045,s,025-east-west_075-south,1003.2676666666666
4,2045,w,south,957.6551166666667
4,2045,w,east-west,753.598
4,2045,w,025-east-west_075-south,906.6354
5,2015,a,south,950.5934666666667
5,2015,a,east-west,743.7314666666667
5,2015,a,025-east-west_075-south,898.8721499999999
5,2015,s,south,970.4043666666666
5,2015,s,east-west,759.8219833333333
5,2015,s,025-east-west_075-south,917.75885
5,2015,w,south,964.3640666666666
5,2015,w,east-west,768.6395333333334
5,2015,w,025-east-west_075-south,915.4336666666667
5,2045,a,south,933.8273833333333
5,2045,a,east-west,747.2768666666667
5,2045,a,025-east-west_075-south,887.1848666666666
5,2045,s,south,1086.7377
5,2045,s,east-west,829.58675
