Lastprofilgruppe,Parameter,1,2,3,4,RMSE
LP_L0,k_a,0.7586398819140457,-0.012314593675729343,0.050537775751324794,1.4744197297664134,0.035591867889714954
LP_Ö_Büro_k,k_e,-0.2265221508938794,0.31096658576230873,0.2543737815719925,1.7028353121847293,0.012279472302445152
LP_Ö_Büro_k,k_a,0.8477598683636279,-0.01225218496779018,0.07628752449581291,1.5235875010786446,0.030809812858879942
LP_G_MH,k_e,-0.0697433821797902,0.17997935363007547,0.1714091463200714,1.953283982993063,0.017316353036214625
LP_G_MH,k_a,0.6882268172527964,-0.007005655606671145,0.08761603264440462,1.6722888669092273,0.01989538040581827
LP_W_MFH_g_WP025,k_e,-0.034434696566554526,0.16834248020764483,0.04581417155547173,1.6326414928996011,0.01652509016301939
LP_W_MFH_g_WP025,k_a,0.8157038402466259,-0.027811326357241567,0.014560478775485115,1.4431906613849355,0.05236432136922558
LP_W_MFH_m_WP075,k_e,-0.8824364622027125,0.7946327236187769,0.7376331357585244,1.8252361236563732,0.03048828493469096
LP_W_MFH_m_WP075,k_a,0.9949772758451435,-0.03204436779784703,0.04691181627644332,1.4381025207288454,0.052056627003051956
LP_WP,k_e,-1.7132390111943236,1.4432978643072787,1.5722636881692855,1.9948776229116905,0.04113349059490293
LP_WP,k_a,1.1250971585803715,-0.01945277730132197,0.11626973982452447,1.5024868120334536,0.04537304606936466
LP_W_MFH_m_WP025,k_e,-0.04171347299292593,0.1732311066440055,0.05317225114938736,1.6683546940379026,0.01732676116927813
LP_W_MFH_m_WP025,k_a,0.8183303864589341,-0.02762502660684331,0.016475265849622767,1.4576787004604166,0.05179380193852205
LP_W_W,k_e,0.013420509376767791,0.11484458400851386,0.0656280846245232,1.8304275042188398,0.018919814269818522
LP_W_W,k_a,0.5972610730673653,-0.006066355916543183,0.06353239200319932,1.7858302951551197,0.020667926319742413
LP_G_MV,k_e,-0.19484109766746896,0.2822780695352891,0.24431997073147083,1.5519408388609,0.02116666113970193
LP_G_MV,k_a,0.7588860159996873,-0.009648194488164409,0.0744789513108392,1.5354729145179562,0.024983480053390905
LP_W_MFH_g_WP075,k_e,-0.8659010572976028,0.7824212928758196,0.7233538157051886,1.8192162829669973,0.0302533145441715
LP_W_MFH_g_WP075,k_a,0.9936643376556317,-0.03199522245278126,0.04660053315109313,1.4360929878694124,0.052119155307562
LP_W_MFH_k_WP025,k_e,-0.16566222296984204,0.25474695271429715,0.14823232455545168,1.750758881626801,0.018968522586680584
LP_W_MFH_k_WP025,k_a,0.8726015441609547,-0.014890288475844279,0.061688146936485284,1.4847926035023435,0.044439633915957545
LP_W_MFH_k_WP050,k_e,-0.4278360677875892,0.4485693133780155,0.34457551566378575,1.740842775499937,0.025875137101261377
LP_W_MFH_k_WP050,k_a,0.9747115605092103,-0.01687539942774944,0.0749983449774698,1.4329998394029195,0.048457085430656396
LP_Ö_Büro_m,k_e,-0.1329148910614373,0.23383353083622868,0.14178605885610088,1.6222981247930084,0.015031364271915676
LP_Ö_Büro_m,k_a,0.8071053645591747,-0.013061518634290482,0.05688468535917018,1.4910566296330472,0.03672112033171148
LP_W_EFH,k_e,-0.014753711540424224,0.14505153069081467,0.07748017339622794,1.915281000976568,0.014704807868488714
LP_W_EFH,k_a,0.7141776931280714,-0.009683315575265855,0.06312682361116745,1.7006209249008173,0.02569247633283476
LP_W_W_WP050,k_e,-0.26918961784135936,0.3360924520595006,0.2600208843765557,1.8106226911929175,0.024225355077799923
LP_W_W_WP050,k_a,0.9026864222557824,-0.01461992750052459,0.07482664983743531,1.492379801722856,0.03754739133919223
LP_W_MFH_m_WP050,k_e,-0.29869400974349175,0.358957229261767,0.2437147384961761,1.7043596920497575,0.02529761415780837
LP_W_MFH_m_WP050,k_a,0.8597644049369259,-0.046037223503932384,-0.01524640473961121,1.4282191158314637,0.08554028699398224
LP_W_MFH_g_WP050,k_e,-0.29211048549859053,0.3540398463263811,0.23690420231655038,1.686762850238702,0.024901304951642944
LP_W_MFH_g_WP050,k_a,0.9089948813940206,-0.03045489572580961,0.027375119000352152,1.415060736840116,0.05404958377689173
LP_W_EFH_WP050,k_e,-0.387109653521585,0.41935450447839095,0.32211609143485403,1.790993218951622,0.024872592514586452
LP_W_EFH_WP050,k_a,0.9619345911531856,-0.016490783651578356,0.07557333510806666,1.4652305055481685,0.04685267401816577
LP_Ö_Schule_m,k_e,-0.12952127257462823,0.25043745660815286,0.17157482947574912,1.6030159521149452,0.013679873649649761
LP_Ö_Schule_m,k_a,0.8563945772370336,-0.01262051813373339,0.07189040574463001,1.4884006038827917,0.030337286469697047
LP_G1,k_e,0.08997259031216766,0.10072374220108188,0.09182340221474096,1.952654387646618,0.02493769827114314
LP_G1,k_a,0.8607157105316766,-0.0004990328959525854,0.18505287649473412,1.6081463280512274,0.0164537619842506
LP_Ö_Schule_g,k_e,-0.06787354522895842,0.22610813749300016,0.17707276733367436,1.6764659568796367,0.01374513898331863
LP_Ö_Schule_g,k_a,0.9073864905927038,-0.009846140663196728,0.10565499473324473,1.5120723499256972,0.02039044263599024
LP_W_EFH_WP025,k_e,-0.09599561382749035,0.2095184224035893,0.1149092039323685,1.802936962630746,0.0162957664346097
LP_W_EFH_WP025,k_a,0.7928814729709859,-0.0249850326208592,0.02342958470420459,1.551620270673857,0.04722913369399391
LP_L2,k_e,-0.1034156020260408,0.20777472207509834,0.11393940717022433,1.5581659367939973,0.01782446027012046
LP_L2,k_a,0.7558755918528398,-0.012356600738964331,0.049503556904055446,1.476358217521623,0.036443430402185215
LP_W_MFH_g,k_e,-0.09738870476071261,0.20050391927564504,0.10588097095860508,1.6483442949987692,0.016392798172631003
LP_W_MFH_g,k_a,0.7658210128852606,-0.012606168642626658,0.04995583357539438,1.5066982499222452,0.03751946909731877
LP_W_W_WP075,k_e,-0.9000203850639543,0.8040715658690003,0.776785197154729,1.8774902270612035,0.031150429887631694
LP_W_W_WP075,k_a,1.036471611680062,-0.01773672246117865,0.09388185123871003,1.4591542244321385,0.04361119340703673
LP_G_G,k_e,-0.12511521285431357,0.22099402243392077,0.13975225468812172,1.5216044978818848,0.018643288272249564
LP_G_G,k_a,0.735524290832094,-0.011505570861256557,0.049626250767377394,1.481708599888073,0.03313389948951141
LP_W_W_WP025,k_e,-0.04096817491410384,0.16511412451892923,0.09068126393397939,1.8141850671422393,0.016869497993786037
LP_W_W_WP025,k_a,0.7471926674289869,-0.010827002837530422,0.06099430831695642,1.58980356949597,0.027328332171897427
LP_G2,k_e,-0.21656025077558017,0.2729892481868513,0.21552918165065105,1.7565185452662455,0.018287801526882388
LP_G2,k_a,0.7277874086320243,-0.01133331945763658,0.05455492635365687,1.5762829044751492,0.032885524783059214
LP_W_EFH_WP075,k_e,-1.0503921239715086,0.9122396578111465,0.8677581220977166,1.852794478076187,0.031062877861975095
LP_W_EFH_WP075,k_a,1.062820736826724,-0.018498817021161396,0.093794132103473,1.446983299872636,0.04790138958531347
LP_G3,k_e,-0.047490379213035894,0.17290107434727617,0.07059369833201909,1.486307415128998,0.018269488321327028
LP_G3,k_a,0.7487520153826313,-0.012564631858075088,0.04478583615007831,1.4730617287389203,0.03840826151341261
LP_Ö_Schule_k,k_e,-0.053967086715669826,0.22056801322733963,0.17888135343354628,1.694230143120497,0.015118519351034001
LP_Ö_Schule_k,k_a,0.9112636507174767,-0.009027839923827614,0.11454932048297901,1.552615592207696,0.01995304571426159
