Lastprofilgruppe,Parameter,1,2,3,4,RMSE
LP_W_MFH_m,k_e,-0.0995201457608608,0.20173927447559456,0.11246023652997636,1.7167002885724665,0.015927449551904928
LP_W_MFH_m,k_a,0.7673943726426253,-0.012395806132201424,0.052806453760578784,1.5338969965554032,0.03589772105737323
LP_W_MFH_k,k_e,-0.11828321262036948,0.2133985152955486,0.13400773330102997,1.8343685214378522,0.015314015430952302
LP_W_MFH_k,k_a,0.7690237236198474,-0.012108898017313938,0.057207329451364676,1.591009207831599,0.03448452026318636
LP_G4,k_e,-0.14584378881593119,0.23279043974937433,0.16049616209872905,1.652227204465394,0.014874515227735089
LP_G4,k_a,0.712808209419722,-0.021213092237168996,0.01917996637193625,1.5144592949873474,0.04494865916317986
LP_L1,k_e,-0.13016720547120592,0.22320517154432426,0.13986913835937692,1.6609944747842977,0.017007490302228832
LP_L1,k_a,0.7599636191522092,-0.01201248439757985,0.053582784126048846,1.488088709580627,0.03318723778378867
LP_G6,k_e,-0.17028701118672349,0.24771943851972494,0.18120809706919577,1.7262561372842948,0.01621107379599876
LP_G6,k_a,0.7352795649871157,-0.011373228116294109,0.056394129719261436,1.5592104571512135,0.031839682529662044
LP_W_MFH_k_WP075,k_e,-1.0068801200990956,0.8845762325961241,0.8373501140184991,1.8299340307954925,0.030439669713377554
LP_W_MFH_k_WP075,k_a,0.9982789176810213,-0.032055890781072065,0.04787670587539399,1.4406185984377826,0.0517096056479471
LP_G0,k_e,-0.1395773955896798,0.22911598205017214,0.15522565651439976,1.6485486737477406,0.014394046296863843
LP_G0,k_a,0.7511574621637438,-0.011546035686035462,0.05412227938394391,1.5045612766209888,0.031429857223268194
LP_G5,k_e,-0.1793689679737763,0.25897706757499295,0.19522639456506566,1.6416901224770868,0.01594105425468969
LP_G5,k_a,0.7661986404055724,-0.011392626825493007,0.05942390369649325,1.4914884144624667,0.030341009521487876
LP_L0,k_e,-0.10591382810336564,0.20943825197999255,0.11712139456267301,1.5738711353751134,0.01754812028406198
